adm_cd,adm_nm,자치구,전세가율,고전세가율비율,거래건수
1120072000,송정동,성동구,66.15,20.0,100
1126069000,신내2동,중랑구,65.92,20.3,128
1126068000,신내1동,중랑구,65.92,20.3,128
1153072000,고척제1동,구로구,65.89,21.1,213
1153073000,고척제2동,구로구,65.89,21.1,213
1129058000,돈암제1동,성북구,65.88,30.1,73
1129059000,돈암제2동,성북구,65.88,30.1,73
1129057500,동선동,성북구,65.86,28.2,149
1141058500,신촌동,서대문구,65.63,41.2,214
1111056000,평창동,종로구,65.6,16.0,212
1120054000,마장동,성동구,65.42,34.6,104
1174054000,명일제2동,강동구,64.58,18.3,273
1174053000,명일제1동,강동구,64.58,18.3,273
1138051000,녹번동,은평구,64.55,16.5,886
1171060000,석촌동,송파구,64.49,21.3,1652
1144070000,망원제2동,마포구,64.03,14.8,1200
1144069000,망원제1동,마포구,64.03,14.8,1200
1144072000,성산제1동,마포구,63.96,15.6,935
1144066000,서교동,마포구,63.74,23.1,765
1120052000,왕십리제2동,성동구,63.68,5.6,160
1144073000,성산제2동,마포구,63.54,14.7,1048
1135062400,중계4동,노원구,63.38,27.3,677
1156071000,대림제2동,영등포구,62.9,23.4,303
1156070000,대림제1동,영등포구,62.9,23.4,303
1156072000,대림제3동,영등포구,62.9,23.4,303
1165051000,서초1동,서초구,62.14,28.1,1104
1165052000,서초2동,서초구,62.14,28.1,1104
1165053100,서초4동,서초구,62.14,28.1,1104
1141052000,천연동,서대문구,61.98,5.4,37
1168052100,논현1동,강남구,61.67,21.5,965
1168053100,논현2동,강남구,61.67,21.5,965
1138057000,대조동,은평구,61.46,8.7,624
1153078000,오류제2동,구로구,61.38,18.3,405
1153077000,오류제1동,구로구,61.36,18.5,401
1159053000,상도제1동,동작구,61.01,13.4,1799
1111053000,사직동,종로구,60.02,14.3,49
1159055000,상도제3동,동작구,59.98,11.9,1674
1159054000,상도제2동,동작구,59.98,11.9,1674
1159056000,상도제4동,동작구,59.98,11.9,1674
1168065600,도곡2동,강남구,59.53,4.3,139
1168065500,도곡1동,강남구,59.53,4.3,139
1114065000,신당제5동,중구,59.4,17.1,821
1114066500,동화동,중구,59.4,17.1,821
1114061500,신당동,중구,59.4,17.1,821
1114062500,다산동,중구,59.4,17.1,821
1114063500,약수동,중구,59.4,17.1,821
1114064500,청구동,중구,59.4,17.1,821
1114059000,광희동,중구,59.35,21.1,19
1168065000,역삼2동,강남구,58.63,17.0,1363
1168064000,역삼1동,강남구,58.63,17.0,1363
