adm_cd,adm_nm,자치구,pop,area_km2,pop_density
1129063000,정릉제2동,성북구,22592.0,1.094064484965256,20649.6
1129064000,정릉제3동,성북구,15017.0,3.324627350064239,4516.9
1129065000,정릉제4동,성북구,24136.0,3.568232250528116,6764.1
1129066000,길음제1동,성북구,34856.0,0.7967102730862298,43749.9
1129068500,길음제2동,성북구,21755.0,0.5875565326336962,37026.2
1129070500,종암동,성북구,37794.0,1.403462295028497,26929.1
1129071500,월곡제1동,성북구,25639.0,0.8011485081250485,32002.8
1129072500,월곡제2동,성북구,18981.0,1.3642055052760724,13913.6
1129076000,장위제1동,성북구,23440.0,0.7080071957631724,33107.0
1129077000,장위제2동,성북구,13208.0,0.6790398236874388,19451.0
1129078000,장위제3동,성북구,15567.0,0.652103888871973,23872.0
1129081000,석관동,성북구,33911.0,1.703869738280126,19902.3
1130553400,삼양동,강북구,22493.0,0.9233943161756524,24359.0
1130553500,미아동,강북구,20929.0,0.8405677197461855,24898.6
1130554500,송중동,강북구,28704.0,1.0749799081166198,26701.9
1130555500,송천동,강북구,24872.0,0.9292092445107046,26766.8
1130557500,삼각산동,강북구,30646.0,0.6214412077007793,49314.4
1130559500,번1동,강북구,17718.0,0.6265607164943696,28278.2
1130560300,번2동,강북구,14915.0,0.9735585324575802,15320.1
1130560800,번3동,강북구,16377.0,1.0803548893471548,15158.9
1130561500,수유1동,강북구,19966.0,1.6487187126957854,12110.0
1130562500,수유2동,강북구,20626.0,0.5811771186678908,35490.0
1130563500,수유3동,강북구,23041.0,0.745080988957229,30924.2
1130564500,우이동,강북구,19895.0,10.579835026007654,1880.5
1130566000,인수동,강북구,29190.0,2.995709989273608,9743.9
1132051100,창제1동,도봉구,24089.0,1.1213181009073514,21482.8
1132051200,창제2동,도봉구,28214.0,0.6539453207338671,43144.3
1132051300,창제3동,도봉구,13259.0,0.654987358771939,20243.1
1132051400,창제4동,도봉구,26101.0,1.1388033534430624,22919.7
1132051500,창제5동,도봉구,23928.0,0.7009429105795203,34136.9
1132052100,도봉제1동,도봉구,20121.0,8.44506904747045,2382.6
1132052200,도봉제2동,도봉구,25965.0,1.1181793708143104,23220.8
1132066000,쌍문제1동,도봉구,20679.0,1.1748855635053204,17600.9
1132067000,쌍문제2동,도봉구,17949.0,0.5407818048786313,33190.8
1132068000,쌍문제3동,도봉구,16503.0,0.5044229295120296,32716.6
1132068100,쌍문제4동,도봉구,18117.0,0.554447018231978,32675.8
1132069000,방학제1동,도봉구,27725.0,1.0400656271029225,26657.0
