adm_cd,adm_nm,자치구,S_JVWI,dagagu_count,new_density,전세가율,고전세가율비율,공시지가대비전세가괴리,officetel_share,pop_density,n_dagagu_count,n_new_density,n_전세가율,n_고전세가율비율,n_공시지가대비전세가괴리,n_officetel_share,n_pop_density
1121571000,화양동,광진구,48.34,547,23.78,79.65,48.3,1.5971,0.432,20581.8,0.4785651793525809,0.12836707152496626,0.7511024510306635,0.6483221476510067,0.34102077694154886,0.6487460579666616,0.41017488394029444
1138062500,역촌동,은평구,48.32,595,56.19,86.62,34.0,1.5213,0.0979,37981.6,0.5205599300087489,0.30331983805668017,0.8225822992513588,0.4563758389261745,0.30973442926354905,0.14701907193272262,0.7579003535249575
1121575000,중곡제2동,광진구,48.1,561,62.83,74.62,32.8,1.8441,0.1378,37800.6,0.49081364829396323,0.33916329284750335,0.6995179981540355,0.4402684563758389,0.4429696935176172,0.20693797867547678,0.7542831676955328
1150056000,화곡제3동,강서구,47.77,287,76.47,81.29,39.4,1.599,0.234,40556.6,0.2510936132983377,0.41279352226720645,0.7679212388472978,0.5288590604026846,0.3418049993767494,0.3514041147319417,0.8093603176728505
1123053600,용신동,동대문구,46.97,408,70.49,67.54,26.8,2.0011,0.451,23763.7,0.3569553805774278,0.3805128205128205,0.6269100605066148,0.3597315436241611,0.5077712315841869,0.6772788707013064,0.4737634120654131
1129081000,석관동,성북구,46.92,1143,27.0,61.69,10.5,2.3356,0.0797,19902.3,1.0,0.145748987854251,0.5669162137216696,0.14093959731543623,0.6458356550444899,0.11968764078690493,0.3965954487408796
1150059300,화곡제8동,강서구,46.73,287,67.21,81.29,39.4,1.599,0.234,39704.9,0.2510936132983377,0.36280701754385963,0.7679212388472978,0.5288590604026846,0.3418049993767494,0.3514041147319417,0.7923395598224582
1174060000,천호제1동,강동구,46.65,419,82.78,72.03,27.1,1.5074,0.2793,39006.5,0.3665791776027997,0.44685560053981105,0.6729566198338632,0.363758389261745,0.30399722302708204,0.41943234719927913,0.7783824184784238
1130563500,수유3동,강북구,46.46,445,46.97,80.87,37.3,1.8123,0.2169,30924.2,0.389326334208224,0.2535492577597841,0.7636139883088915,0.5006711409395973,0.42984428644426104,0.32572458327076137,0.616862081300748
1121576000,중곡제3동,광진구,45.67,561,56.95,74.62,32.8,1.8441,0.1378,26212.0,0.49081364829396323,0.30742240215924427,0.6995179981540355,0.4402684563758389,0.4429696935176172,0.20693797867547678,0.5226913461327087
1121574000,중곡제1동,광진구,45.34,561,55.78,74.62,32.8,1.8441,0.1378,24861.8,0.49081364829396323,0.30110661268556005,0.6995179981540355,0.4402684563758389,0.4429696935176172,0.20693797867547678,0.4957083389123262
1126060000,중화제1동,중랑구,45.14,596,89.64,69.28,13.0,2.0866,0.0506,29326.1,0.5214348206474191,0.48388663967611334,0.6447543841657266,0.174496644295302,0.5430612411682104,0.07598738549331731,0.5849249284057003
1150063000,방화제1동,강서구,44.72,491,33.06,58.49,22.0,2.1246,0.5259,28594.5,0.42957130358705164,0.17846153846153848,0.5340990667623833,0.2953020134228188,0.5587456898722211,0.7897582219552486,0.5703043032520699
1162054500,청림동,관악구,44.67,285,98.79,66.86,14.1,1.6152,0.2764,49714.8,0.24934383202099739,0.5332793522267206,0.6199364167777663,0.18926174496644294,0.3484915275084592,0.41507733893978066,0.9923819268609023
1126056500,면목본동,중랑구,44.4,768,46.76,65.39,12.6,1.9844,0.0646,38736.8,0.6719160104986877,0.2524156545209177,0.6048610398933443,0.16912751677852347,0.5008783291274244,0.09701156329779247,0.7729926117480601
