법정동코드,동이름,자치구,전세가율,고전세가율비율,거래건수
11650_방배동,방배동,서초구,54.02,7.5,2351
11290_동선동3가,동선동3가,성북구,53.33,7.1,28
11230_용두동,용두동,동대문구,52.84,8.3,399
11440_토정동,토정동,마포구,52.71,0.0,31
11290_성북동,성북동,성북구,52.65,5.0,441
11530_항동,항동,구로구,52.64,15.5,71
11380_수색동,수색동,은평구,52.25,4.5,155
11440_현석동,현석동,마포구,52.25,0.0,65
11470_신정동,신정동,양천구,52.2,10.2,1056
11170_용산동3가,용산동3가,용산구,52.09,0.0,9
11140_회현동2가,회현동2가,중구,52.01,0.0,4
11740_상일동,상일동,강동구,50.95,5.8,172
11650_반포동,반포동,서초구,50.82,6.4,862
11410_봉원동,봉원동,서대문구,50.67,0.0,1
11170_청파동3가,청파동3가,용산구,50.53,0.9,432
11740_고덕동,고덕동,강동구,50.51,0.8,388
11410_북가좌동,북가좌동,서대문구,50.27,11.8,676
11170_한강로2가,한강로2가,용산구,50.26,0.0,53
11680_세곡동,세곡동,강남구,50.24,2.0,51
11230_전농동,전농동,동대문구,49.67,5.1,647
11560_도림동,도림동,영등포구,49.63,2.2,231
11110_창성동,창성동,종로구,48.88,0.0,1
11110_창신동,창신동,종로구,48.88,12.3,204
11230_청량리동,청량리동,동대문구,48.85,12.0,75
11170_신계동,신계동,용산구,48.72,0.0,88
11680_대치동,대치동,강남구,48.66,3.4,705
11440_용강동,용강동,마포구,48.47,1.7,175
11170_한강로1가,한강로1가,용산구,48.25,0.0,107
11650_잠원동,잠원동,서초구,48.06,11.0,109
11740_둔촌동,둔촌동,강동구,47.83,10.7,523
11680_신사동,신사동,강남구,47.54,2.5,157
11170_용문동,용문동,용산구,47.36,0.5,665
11110_행촌동,행촌동,종로구,47.25,2.8,106
11290_장위동,장위동,성북구,47.21,0.9,1407
11440_신수동,신수동,마포구,47.2,1.9,257
11680_청담동,청담동,강남구,47.01,10.8,204
11440_구수동,구수동,마포구,46.97,0.0,44
11110_이화동,이화동,종로구,46.77,0.0,11
11680_자곡동,자곡동,강남구,46.27,0.0,26
11140_필동2가,필동2가,중구,45.91,0.0,10
11200_용답동,용답동,성동구,45.57,2.0,446
