adm_cd,adm_nm,youth_ratio,gongsi_per_m2
1147061100,신월7동,0.2490622655663916,2725120
1147062000,신정1동,0.1966124042801359,3884898
1147063000,신정2동,0.19789016115351993,3884898
1147064000,신정3동,0.24174101760308656,3884898
1147065000,신정4동,0.3095297727130424,3884898
1147067000,신정6동,0.21368306741291454,3884898
1147068000,신정7동,0.20845974740704157,3884898
1150051000,염창동,0.305899419729207,3875957
1150052000,등촌1동,0.45704770693736707,4412693
1150053000,등촌2동,0.311740473738414,4412693
1150053500,등촌3동,0.2679346352047735,4412693
1150054000,화곡1동,0.3816747572815534,3649314
1150055000,화곡2동,0.29228166384691673,3649314
1150056000,화곡3동,0.29047664081709856,3649314
1150057000,화곡4동,0.2763788666296614,3649314
1150059000,화곡본동,0.3541073914885889,3649314
1150059100,화곡6동,0.35478806907378335,3649314
1150059300,화곡8동,0.3138187221396731,3649314
1150060300,가양1동,0.49485536218250237,3017095
1150060400,가양2동,0.2626120453366916,3849097
1150060500,가양3동,0.29479239971850807,3849097
1150061100,발산1동,0.22614049818080045,2775747
1150061500,우장산동,0.24048320431138817,3641231
1150062000,공항동,0.2916821200984524,2481075
1150063000,방화1동,0.24791291148847358,2889424
1150064000,방화2동,0.30141328754457797,2201593
1150064100,방화3동,0.24415019045891528,2870917
1153051000,신도림동,0.27797602453303594,3346402
1153052000,구로1동,0.29025197003599573,3285041
1153053000,구로2동,0.24720447284345048,3285041
1153054000,구로3동,0.38853639715339106,3285041
1153055000,구로4동,0.28358367955683395,3285041
1153056000,구로5동,0.36230642729888995,3285041
1153059500,가리봉동,0.3491232065588704,3487281
1153072000,고척1동,0.3190503323836657,2872799
1153073000,고척2동,0.2382587890248138,2872799
1153074000,개봉1동,0.2711400102351064,2931131
1153075000,개봉2동,0.24319801880793815,2931131
1153076000,개봉3동,0.2374644742184328,2931131
1153077000,오류1동,0.3820595086362238,2750477
1153078000,오류2동,0.2345112681690892,2641567
1153079000,수궁동,0.24587212366063588,1947427
1154551000,가산동,0.5467643368812983,3187423
1154561000,독산1동,0.3960105981948603,3092458
1154562000,독산2동,0.2752180720196824,3092458
1154563000,독산3동,0.3130998484593366,3092458
1154564000,독산4동,0.273155737704918,3092458
1154567000,시흥1동,0.286228734633056,2907949
1154568000,시흥2동,0.21086122310195754,2907949
1154569000,시흥3동,0.24361971556594583,2907949
1154570000,시흥4동,0.24283158701763352,2907949
1154571000,시흥5동,0.23376480912681,2907949
1156051500,영등포본동,0.2892822966507177,3701041
1156053500,영등포동,0.5430357376619976,6837604
1156054000,여의동,0.2530546818291798,10865080
1156055000,당산1동,0.4087511307908394,5476465
1156056000,당산2동,0.4074084154373741,4421227
1156058500,도림동,0.3287266109310129,3008021
1156060500,문래동,0.2825857027312885,4745179
1156061000,양평1동,0.4135276326642838,5236819
1156062000,양평2동,0.4067751400373433,4216031
1156063000,신길1동,0.3725023294336888,3670041
1156065000,신길3동,0.2675040417858475,3670041
1156066000,신길4동,0.26108253734998776,3670041
1156067000,신길5동,0.24107946026986507,3704310
1156068000,신길6동,0.32418630751964084,3670041
1156069000,신길7동,0.28868837584433915,3670041
1156070000,대림1동,0.2634817227651104,3770702
1156071000,대림2동,0.3128058039480344,3770702
1156072000,대림3동,0.2729627231523448,3770702
1159051000,노량진1동,0.3589423407111416,4952292
1159052000,노량진2동,0.37532782904322487,5462395
1159053000,상도1동,0.3648864582630027,3896836
1159054000,상도2동,0.3057058802164675,3761237
1159055000,상도3동,0.33327768967531923,3761237
1159056000,상도4동,0.31702234677013724,3761237
1159060500,흑석동,0.28663333333333335,5139919
1159062000,사당1동,0.43851003374178654,4788354
1159063000,사당2동,0.27987231778684163,4518692
1159064000,사당3동,0.2783865801230717,4788354
1159065000,사당4동,0.3408877661494045,4788354
1159065100,사당5동,0.3190782498056125,4788354
1159066000,대방동,0.30953915114161645,4313205
1159067000,신대방1동,0.27691054121279696,3916227
1159068000,신대방2동,0.3372114078768674,3916227
1162052500,보라매동,0.3605672690763052,4217302
1162054500,청림동,0.2706272862755724,4217302
1162056500,성현동,0.24917917034421888,4217302
1162057500,행운동,0.4733098542918307,4217302
1162058500,낙성대동,0.5586175221035711,4217302
1162059500,청룡동,0.531904828161959,4217302
1162060500,은천동,0.31399790524305343,4217302
1162061500,중앙동,0.504218167549539,4217302
1162062500,인헌동,0.4250117352526991,4217302
1162063000,남현동,0.4215620076524871,4954156
1162064500,서원동,0.501109129659432,3978718
1162065500,신원동,0.4310656571363996,3978718
1162066500,서림동,0.44554455445544555,3978718
1162068500,신사동,0.45493926402286533,3978718
1162069500,신림동,0.6633150517976844,3978718
1162071500,난향동,0.21621072589382448,3978718
1162072500,조원동,0.44884740922072625,3978718
1162073500,대학동,0.4731380479633942,3978718
1162074500,삼성동,0.2204834288562173,3978718
1162076500,미성동,0.2873888439773646,3978718
1162077500,난곡동,0.27784539279965453,3978718
1165051000,서초1동,0.2954411185506105,10069025
1165052000,서초2동,0.33002666248431617,10069025
1165053000,서초3동,0.33259333375023453,9042297
1165053100,서초4동,0.21484877469573535,10069025
1165054000,잠원동,0.24734191382204812,10695644
1165055000,반포본동,0.1965065502183406,11450504
1165056000,반포1동,0.26678080170021845,11450504
1165057000,반포2동,0.18212765957446808,11450504
1165058000,반포3동,0.21406381192275398,10695644
1165058100,반포4동,0.23840129624628678,11450504
1165059000,방배본동,0.22826938136256852,8461067
1165060000,방배1동,0.2941781650931978,8461067
1165061000,방배2동,0.2769511588030311,8461067
1165062000,방배3동,0.23263038413286338,8461067
1165062100,방배4동,0.2619110176913645,8461067
1165065100,양재1동,0.2550622682764521,6185805
1165065200,양재2동,0.34267635340988983,5544602
1165066000,내곡동,0.23085840143743117,1310668
1168051000,신사동,0.2562058461339037,13747566
1168052100,논현1동,0.43553726825576994,11007022
1168053100,논현2동,0.3566324033284386,11007022
1168054500,압구정동,0.21621621621621623,13747566
1168056500,청담동,0.278989898989899,13548388
1168058000,삼성1동,0.2703471826977803,12081406
1168059000,삼성2동,0.27728325018748573,12081406
1168060000,대치1동,0.15147855060391505,10644887
1168061000,대치2동,0.1950112195376507,10644887
1168063000,대치4동,0.3249233047709722,10644887
1168064000,역삼1동,0.47889951037537887,11082370
1168065000,역삼2동,0.24430590873048424,11082370
1168065500,도곡1동,0.25550276350237566,9024582
1168065600,도곡2동,0.20044052863436124,9024582
1168066000,개포1동,0.19291624328639861,5688825
1168067000,개포2동,0.25769398536325305,5665905
1168069000,개포4동,0.2807827052892421,5688825
1168070000,세곡동,0.27101677837648397,2059523
1168072000,일원본동,0.21039063182731801,4865101
1168073000,일원1동,0.28100245834471455,4865101
1168075000,수서동,0.2159332106976086,3119590
1171051000,풍납1동,0.24791227330240406,3972369
1171052000,풍납2동,0.29887376029584806,3972369
1171053100,거여1동,0.27118081487013523,4362281
1171053200,거여2동,0.25389566395663954,4362281
1171054000,마천1동,0.2222835079977937,3948840
1171055000,마천2동,0.23063001922859405,3948840
1171056100,방이1동,0.27897618576423244,7006462
1171056200,방이2동,0.44264486802398867,7006462
1171056600,오륜동,0.19885695074802487,7006462
1171057000,오금동,0.2624973353229589,5836660
1171058000,송파1동,0.40236207043574657,8486933
1171059000,송파2동,0.2720310646100744,8486933
1171060000,석촌동,0.3834530511874717,7693498
