adm_cd,adm_nm,자치구,전세가율,고전세가율비율,jeonse_per_m2,거래건수
1129058000,돈암제1동,성북구,60.7,2.6,611.2,1450
1156058500,도림동,영등포구,60.5,20.5,688.4,794
1153078000,오류제2동,구로구,60.49,20.7,436.03,2581
1156072000,대림제3동,영등포구,60.31,7.0,633.5,1477
1156071000,대림제2동,영등포구,60.31,7.0,633.5,1477
1156070000,대림제1동,영등포구,60.31,7.0,633.5,1477
1129072500,월곡제2동,성북구,60.23,6.7,619.04,1305
1120053500,왕십리도선동,성동구,60.22,13.7,992.93,2615
1129071500,월곡제1동,성북구,60.11,7.4,627.91,1127
1159053000,상도제1동,동작구,58.97,4.4,743.08,4843
1138051000,녹번동,은평구,58.94,6.0,645.7,1846
1129062000,정릉제1동,성북구,58.88,4.1,647.59,6611
1117062500,한강로동,용산구,58.86,9.7,1024.56,1386
1168052100,논현1동,강남구,58.71,13.9,976.57,1876
1168053100,논현2동,강남구,58.71,13.9,976.57,1876
1165052000,서초2동,서초구,58.55,22.2,1099.69,6350
1165051000,서초1동,서초구,58.55,22.2,1099.69,6350
1165053100,서초4동,서초구,58.55,22.2,1099.69,6350
1150063000,방화제1동,강서구,58.49,22.0,613.9,9726
1150062000,공항동,강서구,58.49,22.0,613.9,9726
1129052500,성북동,성북구,58.31,9.2,631.19,564
1159054000,상도제2동,동작구,58.29,3.2,746.67,4688
1159056000,상도제4동,동작구,58.29,3.2,746.67,4688
1159055000,상도제3동,동작구,58.29,3.2,746.67,4688
1114068000,중림동,중구,58.03,15.1,1004.14,982
1130557500,삼각산동,강북구,57.8,5.6,511.3,3139
1130555500,송천동,강북구,57.8,5.6,511.3,3139
1130554500,송중동,강북구,57.8,5.6,511.3,3139
1130553500,미아동,강북구,57.8,5.6,511.3,3139
1130553400,삼양동,강북구,57.8,5.6,511.3,3139
1129070500,종암동,성북구,57.74,3.9,641.53,1108
1153080000,항동,구로구,57.43,2.4,547.38,460
1114061500,신당동,중구,57.42,9.6,753.23,2743
1174069000,둔촌제1동,강동구,57.36,2.4,863.62,2656
1174070000,둔촌제2동,강동구,57.36,2.4,863.62,2656
1153074000,개봉제1동,구로구,57.28,11.6,513.14,2430
1153075000,개봉제2동,구로구,57.28,11.6,513.14,2430
1153076000,개봉제3동,구로구,57.28,11.6,513.14,2430
1117068500,한남동,용산구,57.04,1.4,1297.27,563
1132051400,창제4동,도봉구,56.73,11.8,479.99,5047
1132051500,창제5동,도봉구,56.73,11.8,479.99,5047
1132051100,창제1동,도봉구,56.73,11.8,479.99,5047
1132051200,창제2동,도봉구,56.73,11.8,479.99,5047
1132051300,창제3동,도봉구,56.73,11.8,479.99,5047
1171056200,방이2동,송파구,56.7,24.8,801.33,4146
1171056600,오륜동,송파구,56.7,24.8,801.33,4146
1171056100,방이1동,송파구,56.7,24.8,801.33,4146
1171064100,문정1동,송파구,56.65,24.8,758.58,4613
1156060500,문래동,영등포구,56.61,13.0,698.67,1808
1171061000,삼전동,송파구,56.47,11.9,653.55,1775
1129068500,길음제2동,성북구,56.32,3.1,727.79,4338
1153051000,신도림동,구로구,56.02,15.0,761.38,1856
1165065200,양재2동,서초구,55.92,5.1,749.03,2790
1114066500,동화동,중구,55.89,6.9,749.52,2641
1114063500,약수동,중구,55.89,6.9,749.52,2641
1114065000,신당제5동,중구,55.89,6.9,749.52,2641
1165053000,서초3동,서초구,55.89,15.2,1039.56,11040
1114064500,청구동,중구,55.89,6.9,749.52,2641
1114062500,다산동,중구,55.89,6.9,749.52,2641
1144068000,합정동,마포구,55.74,9.1,735.62,1314
1120072000,송정동,성동구,55.73,3.7,667.89,215
1135062500,중계2.3동,노원구,55.66,2.0,558.3,4793
1135062100,중계1동,노원구,55.66,2.0,558.3,4793
1135061900,중계본동,노원구,55.66,2.0,558.3,4793
1141071000,북가좌제1동,서대문구,55.26,5.2,558.45,1511
1141072000,북가좌제2동,서대문구,55.26,5.2,558.45,1511
1159067000,신대방제1동,동작구,55.14,3.2,697.48,1727
1159068000,신대방제2동,동작구,55.14,3.2,697.48,1727
1129066000,길음제1동,성북구,54.99,1.7,762.85,3211
1111068000,창신제2동,종로구,54.96,4.9,541.39,611
1111069000,창신제3동,종로구,54.96,4.9,541.39,611
1111067000,창신제1동,종로구,54.96,4.9,541.39,611
1141064000,홍제제3동,서대문구,54.96,1.3,640.41,2390
1141065500,홍제제2동,서대문구,54.96,1.3,640.41,2390
1141062000,홍제제1동,서대문구,54.96,1.3,640.41,2390
1141069000,남가좌제1동,서대문구,54.92,4.4,788.15,1960
1141070000,남가좌제2동,서대문구,54.92,4.4,788.15,1960
1147055000,목5동,양천구,54.85,6.7,763.68,8015
1147052000,목2동,양천구,54.85,6.7,763.68,8015
1147053000,목3동,양천구,54.85,6.7,763.68,8015
1147051000,목1동,양천구,54.85,6.7,763.68,8015
1147054000,목4동,양천구,54.85,6.7,763.68,8015
1126069000,신내2동,중랑구,54.77,5.8,459.4,2570
1126068000,신내1동,중랑구,54.77,5.8,459.4,2570
1111057000,무악동,종로구,54.72,0.0,851.42,305
1120052000,왕십리제2동,성동구,54.58,1.4,997.62,1950
1153079000,수궁동,구로구,54.46,11.9,378.44,687
1144073000,성산제2동,마포구,54.46,14.2,664.61,3159
1138069000,진관동,은평구,54.39,8.7,507.39,3045
1141052000,천연동,서대문구,54.38,0.3,776.46,719
1150061100,발산제1동,강서구,54.31,20.8,631.67,8315
1123057000,전농제2동,동대문구,54.26,6.9,751.0,2626
1123056000,전농제1동,동대문구,54.26,6.9,751.0,2626
1144072000,성산제1동,마포구,54.26,16.0,667.58,2782
1138053000,불광제2동,은평구,54.24,7.5,532.03,2704
1138052000,불광제1동,은평구,54.24,7.5,532.03,2704
1138064000,증산동,은평구,54.16,1.1,742.25,663
1159066000,대방동,동작구,53.91,6.2,745.24,1165
1141055500,북아현동,서대문구,53.57,13.9,876.88,2136
1117056000,원효로제1동,용산구,53.55,9.3,932.65,2370
1171057000,오금동,송파구,53.53,7.4,678.61,1770
1159063000,사당제2동,동작구,53.41,4.1,775.76,4670
1135061100,하계1동,노원구,53.33,0.5,538.8,2086
1135061200,하계2동,노원구,53.33,0.5,538.8,2086
1159065100,사당제5동,동작구,53.2,4.3,765.03,4399
1159062000,사당제1동,동작구,53.2,4.3,765.03,4399
1159064000,사당제3동,동작구,53.2,4.3,765.03,4399
1159065000,사당제4동,동작구,53.2,4.3,765.03,4399
1156067000,신길제5동,영등포구,53.02,6.1,761.85,6273
1117053000,남영동,용산구,52.91,36.8,739.71,247
1111058000,교남동,종로구,52.7,2.9,1174.3,658
1138065000,수색동,은평구,52.55,1.2,750.74,1141
1150051000,염창동,강서구,52.52,12.2,694.56,5635
1144074000,상암동,마포구,52.46,9.0,622.11,1805
1165062000,방배3동,서초구,52.27,5.8,958.14,4690
1165061000,방배2동,서초구,52.27,5.8,958.14,4690
1165062100,방배4동,서초구,52.27,5.8,958.14,4690
1165060000,방배1동,서초구,52.27,5.8,958.14,4690
1165059000,방배본동,서초구,52.27,5.8,958.14,4690
1144058500,도화동,마포구,52.13,8.3,757.64,1652
1150060300,가양제1동,강서구,51.69,20.0,644.0,9408
1174059000,암사제3동,강동구,51.47,4.8,723.52,3199
1174058000,암사제2동,강동구,51.47,4.8,723.52,3199
1174057000,암사제1동,강동구,51.47,4.8,723.52,3199
1144060000,대흥동,마포구,51.37,5.4,950.34,2289
1171063200,가락2동,송파구,51.15,4.2,959.22,4732
1171063100,가락1동,송파구,51.15,4.2,959.22,4732
1171062000,가락본동,송파구,51.15,4.2,959.22,4732
1144056500,공덕동,마포구,51.11,11.0,931.13,6189
1135062400,중계4동,노원구,51.09,1.8,492.13,15181
1156069000,신길제7동,영등포구,50.77,5.9,801.38,4796
1156066000,신길제4동,영등포구,50.77,5.9,801.38,4796
1156065000,신길제3동,영등포구,50.77,5.9,801.38,4796
1156063000,신길제1동,영등포구,50.77,5.9,801.38,4796
1156068000,신길제6동,영등포구,50.77,5.9,801.38,4796
1120059000,금호1가동,성동구,50.63,0.3,908.69,873
1156051500,영등포본동,영등포구,50.61,5.9,799.18,5523
1144061000,염리동,마포구,50.24,13.2,979.24,3125
1129077000,장위제2동,성북구,50.13,2.9,589.88,2749
1129076000,장위제1동,성북구,50.13,2.9,589.88,2749
1129078000,장위제3동,성북구,50.13,2.9,589.88,2749
1171064600,장지동,송파구,50.11,15.0,772.73,7657
1171064200,문정2동,송파구,50.11,15.0,772.73,7657
1144065500,서강동,마포구,50.1,3.7,807.69,1176
1120055000,사근동,성동구,49.23,3.2,886.98,2357
1171052000,풍납2동,송파구,49.18,2.0,742.43,1492
1171051000,풍납1동,송파구,49.18,2.0,742.43,1492
1168056500,청담동,강남구,49.03,10.9,1257.26,1250
1135063000,상계1동,노원구,48.97,1.8,461.6,10388
1135067000,상계5동,노원구,48.97,1.8,461.6,10388
1135069500,상계6.7동,노원구,48.97,1.8,461.6,10388
