adm_cd,adm_nm,자치구,villa_total,newvilla_count,newvilla_ratio,area_km2,newvilla_density
1123066000,장안제2동,동대문구,473,23,0.0486,0.9959,23.09
1123065000,장안제1동,동대문구,473,23,0.0486,1.3411,17.15
1123054500,제기동,동대문구,271,13,0.048,1.1808,11.01
1123057000,전농제2동,동대문구,272,13,0.0478,0.9768,13.31
1123056000,전농제1동,동대문구,272,13,0.0478,1.1258,11.55
1165065200,양재2동,서초구,776,37,0.0477,7.5574,4.9
1153079000,수궁동,구로구,508,24,0.0472,2.6594,9.02
1121587000,구의제3동,광진구,1198,56,0.0467,1.0268,54.54
1121586000,구의제2동,광진구,1198,56,0.0467,1.387,40.37
1121585000,구의제1동,광진구,1198,56,0.0467,0.5945,94.2
1129068500,길음제2동,성북구,407,19,0.0467,0.5876,32.33
1132052100,도봉제1동,도봉구,624,29,0.0465,8.4451,3.43
1132052200,도봉제2동,도봉구,624,29,0.0465,1.1182,25.93
1159067000,신대방제1동,동작구,323,15,0.0464,0.6748,22.23
1159068000,신대방제2동,동작구,323,15,0.0464,0.9697,15.47
1165053000,서초3동,서초구,2273,105,0.0462,2.9963,35.04
1168064000,역삼1동,강남구,838,38,0.0453,2.3603,16.1
1168065000,역삼2동,강남구,838,38,0.0453,1.1342,33.5
1150063000,방화제1동,강서구,1070,48,0.0449,1.4745,32.55
1150062000,공항동,강서구,1070,48,0.0449,10.9559,4.38
1114057000,필동,중구,181,8,0.0442,1.4636,5.47
1117051000,후암동,용산구,431,19,0.0441,0.8653,21.96
1171060000,석촌동,송파구,1004,44,0.0438,0.9462,46.5
1168063000,대치4동,강남구,551,24,0.0436,0.7005,34.26
1168061000,대치2동,강남구,551,24,0.0436,1.836,13.07
1168060000,대치1동,강남구,551,24,0.0436,0.8092,29.66
1171064600,장지동,송파구,763,33,0.0433,1.2774,25.83
1171064200,문정2동,송파구,763,33,0.0433,2.2403,14.73
1126063000,묵제2동,중랑구,535,23,0.043,0.6687,34.4
1126062000,묵제1동,중랑구,535,23,0.043,1.2375,18.59
1141058500,신촌동,서대문구,212,9,0.0425,2.7182,3.31
1121576000,중곡제3동,광진구,1400,59,0.0421,0.6014,98.1
1121574000,중곡제1동,광진구,1400,59,0.0421,0.614,96.09
1121575000,중곡제2동,광진구,1400,59,0.0421,0.5451,108.24
1121577000,중곡제4동,광진구,1400,59,0.0421,2.3117,25.52
1174066000,성내제3동,강동구,955,40,0.0419,0.6469,61.83
1174064000,성내제1동,강동구,955,40,0.0419,0.6632,60.31
1174065000,성내제2동,강동구,955,40,0.0419,0.6247,64.03
1159054000,상도제2동,동작구,1937,80,0.0413,0.7784,102.77
1159055000,상도제3동,동작구,1937,80,0.0413,0.6369,125.61
1111056000,평창동,종로구,460,19,0.0413,8.9404,2.13
1159056000,상도제4동,동작구,1937,80,0.0413,0.9389,85.21
1150064100,방화제3동,강서구,605,24,0.0397,2.557,9.39
1165065100,양재1동,서초구,1011,40,0.0396,5.7601,6.94
1130564500,우이동,강북구,2660,105,0.0395,10.5798,9.92
