adm_cd,adm_nm,자치구,S_JVWI,구피해,cluster,cluster_label
1120052000,왕십리제2동,성동구,29.8,25,0,고밀주거형
1147053000,목3동,양천구,29.79,354,0,고밀주거형
1171056100,방이1동,송파구,29.77,198,6,오피스텔밀집형
1147061000,신월6동,양천구,29.69,354,0,고밀주거형
1174057000,암사제1동,강동구,29.64,241,0,고밀주거형
1153051000,신도림동,구로구,29.62,527,4,공시지가괴리형
1162058500,낙성대동,관악구,29.61,2292,6,오피스텔밀집형
1132052100,도봉제1동,도봉구,29.58,158,6,오피스텔밀집형
1156071000,대림제2동,영등포구,29.51,498,0,고밀주거형
1138065000,수색동,은평구,29.46,417,3,신축집중형
1147057000,신월2동,양천구,29.42,354,0,고밀주거형
1153072000,고척제1동,구로구,29.39,527,0,고밀주거형
1129068500,길음제2동,성북구,29.16,271,0,고밀주거형
1129077000,장위제2동,성북구,29.0,271,3,신축집중형
1132051500,창제5동,도봉구,28.9,158,0,고밀주거형
1147056000,신월1동,양천구,28.9,354,0,고밀주거형
1141066000,홍은제1동,서대문구,28.83,200,4,공시지가괴리형
1150060300,가양제1동,강서구,28.8,1627,6,오피스텔밀집형
1165053100,서초4동,서초구,28.79,29,0,고밀주거형
1153076000,개봉제3동,구로구,28.78,527,0,고밀주거형
1138053000,불광제2동,은평구,28.77,417,1,다가구밀집형
1153078000,오류제2동,구로구,28.63,527,6,오피스텔밀집형
1111058000,교남동,종로구,28.61,34,4,공시지가괴리형
1159065100,사당제5동,동작구,28.54,974,3,신축집중형
1156072000,대림제3동,영등포구,28.49,498,0,고밀주거형
1174055000,고덕제1동,강동구,28.3,241,4,공시지가괴리형
1129072500,월곡제2동,성북구,28.19,271,1,다가구밀집형
1130560300,번2동,강북구,28.13,187,1,다가구밀집형
1135059500,공릉1동,노원구,28.11,22,0,고밀주거형
1141068500,홍은제2동,서대문구,28.06,200,4,공시지가괴리형
1130560800,번3동,강북구,28.01,187,1,다가구밀집형
1159052000,노량진제2동,동작구,27.97,974,2,저위험형
1159064000,사당제3동,동작구,27.88,974,0,고밀주거형
1117058000,효창동,용산구,27.83,4,3,신축집중형
1129063000,정릉제2동,성북구,27.69,271,4,공시지가괴리형
1114068000,중림동,중구,27.64,19,6,오피스텔밀집형
1132066000,쌍문제1동,도봉구,27.63,158,0,고밀주거형
1126069000,신내2동,중랑구,27.62,283,4,공시지가괴리형
1150064100,방화제3동,강서구,27.57,1627,6,오피스텔밀집형
1153074000,개봉제1동,구로구,27.47,527,0,고밀주거형
1117059000,용문동,용산구,27.47,4,3,신축집중형
1171064600,장지동,송파구,27.35,198,6,오피스텔밀집형
1147060000,신월5동,양천구,27.35,354,0,고밀주거형
1171061000,삼전동,송파구,27.34,198,0,고밀주거형
1121584000,자양제3동,광진구,27.3,134,0,고밀주거형
1159068000,신대방제2동,동작구,27.25,974,0,고밀주거형
1159051000,노량진제1동,동작구,27.2,974,2,저위험형
1129059000,돈암제2동,성북구,27.02,271,0,고밀주거형
1114055000,명동,중구,26.98,19,6,오피스텔밀집형
1129071500,월곡제1동,성북구,26.98,271,0,고밀주거형
1141069000,남가좌제1동,서대문구,26.88,200,0,고밀주거형
1132051300,창제3동,도봉구,26.78,158,0,고밀주거형
1132051400,창제4동,도봉구,26.55,158,0,고밀주거형
1129052500,성북동,성북구,26.52,271,4,공시지가괴리형
1147052000,목2동,양천구,26.41,354,0,고밀주거형
1121584700,자양제4동,광진구,26.4,134,2,저위험형
1111064000,이화동,종로구,26.34,34,6,오피스텔밀집형
1132051100,창제1동,도봉구,26.33,158,0,고밀주거형
1168052100,논현1동,강남구,26.27,68,1,다가구밀집형
1141070000,남가좌제2동,서대문구,26.25,200,0,고밀주거형
1159066000,대방동,동작구,26.24,974,0,고밀주거형
1138052000,불광제1동,은평구,26.23,417,1,다가구밀집형
1147063000,신정2동,양천구,26.18,354,0,고밀주거형
1144060000,대흥동,마포구,26.1,164,2,저위험형
1114057000,필동,중구,26.08,19,6,오피스텔밀집형
1144070000,망원제2동,마포구,25.96,164,0,고밀주거형
1165052000,서초2동,서초구,25.91,29,6,오피스텔밀집형
1114064500,청구동,중구,25.89,19,0,고밀주거형
1114052000,소공동,중구,25.76,19,6,오피스텔밀집형
1141065500,홍제제2동,서대문구,25.75,200,4,공시지가괴리형
1147058000,신월3동,양천구,25.74,354,4,공시지가괴리형
1141072000,북가좌제2동,서대문구,25.71,200,0,고밀주거형
1126068000,신내1동,중랑구,25.58,283,4,공시지가괴리형
1168053100,논현2동,강남구,25.54,68,1,다가구밀집형
1165066000,내곡동,서초구,25.51,29,4,공시지가괴리형
1141071000,북가좌제1동,서대문구,25.42,200,0,고밀주거형
1117057000,원효로제2동,용산구,25.37,4,3,신축집중형
1147061100,신월7동,양천구,25.31,354,4,공시지가괴리형
1174056000,고덕제2동,강동구,25.1,241,4,공시지가괴리형
1171064200,문정2동,송파구,25.04,198,6,오피스텔밀집형
1114065000,신당제5동,중구,24.99,19,0,고밀주거형
1111057000,무악동,종로구,24.93,34,4,공시지가괴리형
1121583000,자양제2동,광진구,24.92,134,2,저위험형
1144074000,상암동,마포구,24.86,164,6,오피스텔밀집형
1147055000,목5동,양천구,24.85,354,0,고밀주거형
1147051000,목1동,양천구,24.77,354,0,고밀주거형
1114066500,동화동,중구,24.76,19,0,고밀주거형
1165051000,서초1동,서초구,24.75,29,6,오피스텔밀집형
1135062100,중계1동,노원구,24.68,22,0,고밀주거형
1135061200,하계2동,노원구,24.68,22,0,고밀주거형
1144063000,신수동,마포구,24.64,164,0,고밀주거형
1114063500,약수동,중구,24.63,19,0,고밀주거형
1150051000,염창동,강서구,24.58,1627,0,고밀주거형
1141056500,충현동,서대문구,24.5,200,2,저위험형
1111051500,청운효자동,종로구,24.48,34,6,오피스텔밀집형
1117053000,남영동,용산구,24.46,4,6,오피스텔밀집형
1129058000,돈암제1동,성북구,24.46,271,4,공시지가괴리형
1120057000,행당제2동,성동구,24.36,25,0,고밀주거형
1171056600,오륜동,송파구,24.36,198,6,오피스텔밀집형
1111056000,평창동,종로구,24.23,34,4,공시지가괴리형
1141062000,홍제제1동,서대문구,24.23,200,4,공시지가괴리형
1111060000,가회동,종로구,23.95,34,6,오피스텔밀집형
1147065000,신정4동,양천구,23.86,354,0,고밀주거형
1120059000,금호1가동,성동구,23.62,25,4,공시지가괴리형
1165053000,서초3동,서초구,23.61,29,2,저위험형
1144069000,망원제1동,마포구,23.6,164,2,저위험형
1147062000,신정1동,양천구,23.59,354,0,고밀주거형
1135062500,중계2.3동,노원구,23.52,22,4,공시지가괴리형
1171064700,위례동,송파구,23.51,198,4,공시지가괴리형
1117051000,후암동,용산구,23.49,4,2,저위험형
1144058500,도화동,마포구,23.46,164,0,고밀주거형
1156060500,문래동,영등포구,23.43,498,6,오피스텔밀집형
1141064000,홍제제3동,서대문구,23.42,200,4,공시지가괴리형
1114060500,을지로동,중구,23.41,19,6,오피스텔밀집형
1129065000,정릉제4동,성북구,23.36,271,4,공시지가괴리형
1114062500,다산동,중구,23.28,19,0,고밀주거형
1171058000,송파1동,송파구,23.28,198,3,신축집중형
1174053000,명일제1동,강동구,23.22,241,0,고밀주거형
1129064000,정릉제3동,성북구,23.06,271,4,공시지가괴리형
1171059000,송파2동,송파구,23.06,198,3,신축집중형
1147067000,신정6동,양천구,22.92,354,0,고밀주거형
1144068000,합정동,마포구,22.91,164,2,저위험형
1129066000,길음제1동,성북구,22.87,271,0,고밀주거형
1141052000,천연동,서대문구,22.85,200,4,공시지가괴리형
1159063000,사당제2동,동작구,22.8,974,2,저위험형
1114058000,장충동,중구,22.66,19,6,오피스텔밀집형
1114061500,신당동,중구,22.61,19,2,저위험형
1135060000,공릉2동,노원구,22.58,22,4,공시지가괴리형
1120072000,송정동,성동구,22.57,25,4,공시지가괴리형
1120061500,금호2.3가동,성동구,22.5,25,0,고밀주거형
1165059000,방배본동,서초구,22.45,29,0,고밀주거형
1120055000,사근동,성동구,22.44,25,4,공시지가괴리형
1120054000,마장동,성동구,22.41,25,2,저위험형
1153079000,수궁동,구로구,22.22,527,4,공시지가괴리형
1150060500,가양제3동,강서구,22.11,1627,0,고밀주거형
1111069000,창신제3동,종로구,22.11,34,0,고밀주거형
1147068000,신정7동,양천구,22.04,354,2,저위험형
1144065500,서강동,마포구,21.92,164,2,저위험형
1174059000,암사제3동,강동구,21.82,241,4,공시지가괴리형
1111068000,창신제2동,종로구,21.8,34,0,고밀주거형
1159060500,흑석동,동작구,21.66,974,2,저위험형
1165060000,방배1동,서초구,21.4,29,2,저위험형
1171051000,풍납1동,송파구,21.25,198,4,공시지가괴리형
1117068500,한남동,용산구,21.18,4,2,저위험형
1120066000,성수1가제2동,성동구,21.16,25,2,저위험형
1174058000,암사제2동,강동구,21.14,241,4,공시지가괴리형
1135070000,상계8동,노원구,21.08,22,0,고밀주거형
1171057000,오금동,송파구,20.97,198,2,저위험형
1135064000,상계2동,노원구,20.83,22,0,고밀주거형
1120058000,응봉동,성동구,20.78,25,4,공시지가괴리형
1121581000,광장동,광진구,20.76,134,4,공시지가괴리형
1171052000,풍납2동,송파구,20.58,198,4,공시지가괴리형
1165062100,방배4동,서초구,20.5,29,2,저위험형
1147064000,신정3동,양천구,20.41,354,2,저위험형
1171063200,가락2동,송파구,20.3,198,0,고밀주거형
1120062000,금호4가동,성동구,20.27,25,4,공시지가괴리형
1135058000,월계3동,노원구,20.25,22,4,공시지가괴리형
1135061100,하계1동,노원구,20.22,22,4,공시지가괴리형
1114054000,회현동,중구,20.13,19,6,오피스텔밀집형
1135071000,상계9동,노원구,20.11,22,2,저위험형
1120056000,행당제1동,성동구,19.99,25,2,저위험형
